,order,tau_max,seed,lnZ,lnZ_err,n_pix,spec_chi2_raw,spec_chi2_fA,spec_chi2_stored,phot_chi2,phot_n,ess,passed,calls,wall_s,logmass_q50,logmass_hw,afe_q50,afe_hw,tau_dust_q50,tau_dust_hw,age_q50,age_hw,f_calib_q50,f_calib_hw,feh_q50,feh_hw,dust_index_q50,dust_index_hw,t20_q50,t20_hw,t50_q50,t50_hw,t80_q50,t80_hw,zred_q50,zred_hw,sigma_smooth_q50,sigma_smooth_hw
A,3,2.0,20260832,230683.01589440534,0.3757949043798085,3523,13969.951459286838,3692.5830244916124,3699.5316088013333,90.02593092331483,12,4094.142209220561,True,8706256,487.99327815300785,11.551107355845136,0.017866105867925697,-0.022079772951997777,0.007112301488791365,0.44333636597220316,0.012430784823303426,3.9202598985137067,0.17647273284702503,3.0834164529651753,0.05086434970478981,0.14616321480881567,0.019254242080313122,-0.9923830476345078,0.00906822850453215,2.263572161627849,0.13090403832310082,3.834210793288999,0.18006350121449266,5.4675852275832915,0.42820187972461365,,,,
C,10,1.0,20260832,231153.15541862094,0.3492780329990088,3523,10772.141553728023,2857.326167663447,3649.1505163059937,55.021324966350285,12,4923.465370766894,True,10455667,1502.4763214918785,11.650336870175735,0.012890513029895523,0.06012956227089929,0.00962009081749787,0.4052940541618254,0.013468609829285688,5.190230879750523,0.11999429500125869,2.5234182178854523,0.050567718762996705,-0.15886136366140624,0.02152213069731479,-0.9874294331048212,0.013526467477933679,3.768634526781966,0.132530900532992,5.322581844888203,0.1738008055445257,6.668757531159265,0.06952032221781046,0.6542194811140847,1.5228251920795799e-05,263.4179028429596,3.103928198935904
